start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
10.234809523809524,10.420569160997733,44,53,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
8.352709297052154,8.515248979591837,53,84,0,0,0,0,0,1,1,0,0,0,0,0,0,0
8.201779591836734,8.352709297052154,52,98,1,1,1,1,1,1,1,1,1,1,1,1,1
8.039239909297052,8.178559637188208,53,43,7,6,1,1,1,1,1,2,1,1,-1,-2
7.631606802721088,7.921856235827665,50,78,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,2
7.329747392290249,7.573556916099774,53,94,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.155597732426304,7.329747392290249,53,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.679588662131519,7.004668027210885,59,98,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0
6.168749659863946,6.366119274376417,58,96,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
6.017819954648526,6.168749659863946,58,98,3,3,2,2,2,2,2,1,1,1,1,1,1
5.691456689342403,6.017819954648526,58,88,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,3,3,4,3,3,3,3,3
5.1690077097505664,5.4360371882086165,56,77,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2
4.449189115646258,4.704608616780045,52,97,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2
4.2982594104308385,4.449189115646258,52,80,2,2,2,2,2,2,2,2,2,2,2,2,2
3.984790022675737,4.205379591836735,51,92,-1,-1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,-1,-1,-1
3.7977464852607707,3.984790022675737,51,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
3.29851746031746,3.7513065759637185,53,99,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
3.159197732426304,3.29851746031746,53,87,0,0,0,1,1,3,3,1,0,0,0,0
2.880558276643991,3.0779278911564627,50,85,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
2.2420095238095237,2.5438689342403626,53,91,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2.091079818594104,2.2420095238095237,53,85,1,1,1,0,0,0,0,0,0,0,0,-1,0
1.7763265306122449,2.091079818594104,53,97,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
1.195827664399093,1.7763265306122449,53,89,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
0.9520181405895691,1.195827664399093,53,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0.5456689342403628,0.9520181405895691,53,102,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-2,-2
6.6911986394557825,6.888568253968254,93,52,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
